-9.000000000000000000e+00 -9.000000000000000000e+00 -9.000000000000000000e+00 0.000000000000000000e+00
8.853171054445191368e-01 4.301069899984649725e-02 1.895044884227976567e-01 1.393676705322797815e+01
8.551431039775052589e-01 5.436393180093485045e-02 1.979597329678881024e-01 1.069502886427334687e+01
8.702909764629104261e-01 1.125351422229936560e-02 2.353513918259165782e-01 9.033300094465792185e+00
9.388655484063579415e-01 3.477794632829520061e-02 1.595263783140391523e-01 9.597974061344977770e+00
8.574191929948750124e-01 7.125371319350914945e-02 1.823337183464753264e-01 9.922721034714545141e+00
8.948199228474580380e-01 -1.318999116399239280e-01 2.408078484677592113e-01 8.477460833628970960e+00
8.616954042878205433e-01 1.049867873232900317e-01 2.174210724455391541e-01 1.001790537212114529e+01
8.840805424660050926e-01 1.690719068157111038e-01 2.359326618516097429e-01 9.690240812759707723e+00
9.171359535595581258e-01 -7.636060503702549185e-02 1.865472788661259596e-01 9.973214562257084026e+00
